admin_FullName,admin_audit_date_log,admin_audit_time_log,admin_log_status
"01, Admin",2023-11-18,14:49:26,LOGGED IN
"01, Admin",2023-11-20,10:23:03,LOGGED IN
"01, Admin",2023-11-20,13:30:12,LOGGED IN
"01, Admin",2023-11-20,13:38:12,LOGGED IN
"01, Admin",2023-11-20,13:39:00,LOGGED IN
"01, Admin",2023-11-20,13:44:02,LOGGED IN
"01, Admin",2023-11-20,13:46:22,LOGGED IN
"01, Admin",2023-11-20,13:57:42,LOGGED IN
"01, Admin",2023-11-20,13:58:07,LOGGED OUT
"01, Admin",2023-11-20,13:58:17,LOGGED IN
"01, Admin",2023-11-20,13:58:24,LOGGED OUT
"01, Admin",2023-11-20,14:51:53,LOGGED IN
"01, Admin",2023-11-20,14:52:01,LOGGED OUT
"01, Admin",2023-11-20,16:50:43,LOGGED IN
"01, Admin",2023-11-20,16:51:38,LOGGED IN
"01, Admin",2023-11-20,16:52:20,LOGGED OUT
"01, Admin",2023-11-20,17:01:35,LOGGED IN
"01, Admin",2023-11-20,17:02:29,LOGGED OUT
"01, Admin",2023-11-20,17:03:04,LOGGED IN
"01, Admin",2023-11-20,17:05:25,LOGGED IN
"01, Admin",2023-11-20,17:07:03,LOGGED IN
"01, Admin",2023-11-20,17:18:18,LOGGED IN
"01, Admin",2023-11-20,17:21:11,LOGGED OUT
"01, Admin",2023-11-20,18:28:54,LOGGED IN
"01, Admin",2023-11-20,18:28:59,LOGGED OUT
"01, Admin",2023-11-21,6:25:02,LOGGED IN
"01, Admin",2023-11-21,6:25:46,LOGGED OUT
"01, Admin",2023-11-21,9:40:05,LOGGED IN
"01, Admin",2023-11-21,9:44:10,LOGGED IN
"01, Admin",2023-11-21,9:46:31,LOGGED OUT
"01, Admin",2023-11-21,9:46:53,LOGGED IN
"01, Admin",2023-11-23,11:29:02,LOGGED IN
"01, Admin",2023-11-23,11:30:43,LOGGED OUT
"01, Admin",2023-11-25,10:22:05,LOGGED IN
"01, Admin",2023-11-25,10:22:49,LOGGED OUT
"01, Admin",2023-11-27,20:35:30,LOGGED IN
"01, Admin",2023-11-27,22:16:35,LOGGED IN
"01, Admin",2023-11-27,22:34:09,LOGGED IN
"01, Admin",2023-11-27,23:04:21,LOGGED IN
"01, Admin",2023-11-27,23:05:46,LOGGED IN
"01, Admin",2023-11-27,23:06:48,LOGGED IN
"01, Admin",2024-01-04,6:12:00,LOGGED IN
